sector,resource_type,resource,x,y,z,resource_full
02_kwe_steinnfellfortress_01_sub_1_3,collect,cd_gimmick_ct_fruit_apple_01,-11038.60,865.62,-1052.76,object/00_common/gimmick/collect/cd_gimmick_ct_fruit_apple_01.pami
04_aka_dem_cave_0016,collect,cd_gimmick_ct_vegetable_hericium_01,-8379.12,487.02,-5968.39,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_hericium_01.pami
04_aka_dungeon_31_dungeon,collect,cd_gimmick_abyssitem_spiderweb_deadbody_04,-9928.22,664.89,-2109.98,object/00_common/gimmick/collect/cd_gimmick_abyssitem_spiderweb_deadbody_04.pami
beighenbasketmaker_0001_phase01_00,collect,cd_gimmick_ct_fruit_peach_01,-9454.47,618.99,-1087.25,object/00_common/gimmick/collect/cd_gimmick_ct_fruit_peach_01.pami
beighenbasketmaker_0001_phase01_00,collect,cd_gimmick_ct_fruit_peach_01,-9445.13,618.35,-1084.51,object/00_common/gimmick/collect/cd_gimmick_ct_fruit_peach_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12037.33,709.59,-1846.64,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,709.59,-1846.64,-11958.64,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11958.64,723.47,-1756.40,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12008.64,712.44,-1838.14,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12023.80,712.67,-1835.45,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11986.82,711.50,-1843.05,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12015.55,711.81,-1843.19,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12011.23,717.76,-1787.82,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12007.36,712.19,-1840.29,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12000.87,712.20,-1840.57,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11993.71,715.85,-1803.54,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11972.40,718.80,-1766.57,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12015.24,714.41,-1818.65,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12003.59,713.71,-1825.23,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11995.64,718.19,-1778.17,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11995.32,717.26,-1789.03,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12023.45,712.29,-1837.87,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12022.90,715.55,-1808.63,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12025.87,712.80,-1833.68,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12023.15,712.82,-1834.33,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12018.13,713.09,-1832.71,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12018.48,713.35,-1829.19,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11981.22,712.02,-1837.33,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12024.96,712.32,-1838.24,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12017.02,712.68,-1835.22,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12011.17,713.19,-1831.69,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-12006.46,712.30,-1839.04,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11984.89,711.58,-1841.82,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11985.20,714.35,-1813.27,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11993.65,715.50,-1804.67,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
calphade_before_area_01_sub_3_12,collect,cd_gimmick_ct_vegetable_shiitake_01,-11992.39,715.60,-1803.20,object/00_common/gimmick/collect/cd_gimmick_ct_vegetable_shiitake_01.pami
