name,region,type,en_name,kr_name,x,y,z
Node_Her_Temporary_Camp,Hernand,camp,Temporary Camp,,-10658.52,634.28,-3701.77
Node_Her_HernandCastle,Hernand,castle,Hernand Castle,에르난드 성,948.00,520.00,218.00
Node_Her_HernandEastGate,Hernand,gate,Hernand East Gate,에르난드 동문,-9588.00,573.00,-3967.00
Node_Her_HernandNorthGate,Hernand,gate,Hernand North Gate,에르난드 북쪽 관문,-9867.00,662.00,-1926.00
Node_Her_HowlingCave,Hernand,cave,Howling Cave,,-10437.00,763.00,-1693.00
Node_Her_BellanorHuntingGrounds,Hernand,poi,Bellanor Hunting Grounds,벨라노르 사냥터,-10064.00,686.00,-1939.00
Node_Her_RoyalSupply_Hernand,Hernand,storage,Royal Supply Hernand,,-10673.00,635.00,-3728.00
Node_Her_BellanorBeacon,Hernand,beacon,Bellanor Beacon,벨라노르 봉화대,-9671.00,707.00,-1911.00
Node_Her_HellwoodBeacon,Hernand,beacon,Hellwood Beacon,,-9987.00,654.00,-3065.00
Node_Her_DeepForestBeacon,Hernand,beacon,Deep Forest Beacon,,-9337.00,683.00,-5954.00
Node_Her_TorchlightBeacon,Hernand,beacon,Torchlight Beacon,토치라이트 봉화대,-10994.00,801.00,-3553.00
Node_Her_EmbernestBeacon,Hernand,beacon,Embernest Beacon,엠버네스트 봉화대,-10284.00,641.00,-3381.00
Node_Her_RootFort,Hernand,fort,Root Fort,,-10501.00,768.00,-2287.00
Node_Her_DivineTree,Hernand,poi,Divine Tree,,-10519.00,815.00,-2140.00
Node_Her_SpiderCastle,Hernand,castle,Spider Castle,,326.00,328.00,332.00
Node_Her_ArboriaCraftshop,Hernand,market,Arboria Craftshop,아보리아 공방,-9668.00,664.00,-2581.00
Node_Her_ArboriaVillage,Hernand,village,Arboria Village,,-10123.00,715.00,-2508.00
Node_Her_SaddlewindRanch,Hernand,ranch,Saddlewind Ranch,새들윈드 말목장,-9604.00,665.00,-2496.00
Node_Her_WindcrestOutpost,Hernand,outpost,Windcrest Outpost,윈드크레스트 전초기지,-9849.00,686.00,-2606.00
