sector,resource_type,resource,x,y,z,resource_full
00_common-interior,fish,cd_in_food_fishpancake_01,7569.42,354.56,3797.24,object/00_common/interior/decofood/cd_in_food_fishpancake_01.pami
00_common-products,farm,cd_product_farm_akapen_fishing_shed_01,6801.27,354.32,3705.74,object/00_common/products/farm/cd_product_farm_akapen_fishing_shed_01.pami
00_common-shops,fish,cd_shops_fishstall_01,5854.29,354.86,3796.51,object/00_common/shops/cd_shops_fishstall_01.pami
00_common-shops,fish,cd_shops_fishingrod_01,5893.85,354.86,3796.51,object/00_common/shops/cd_shops_fishingrod_01.pami
00_common-sign_statue_strdeco_tent,fish,cd_sign_fish_02,8026.43,360.71,3507.24,object/00_common/sign/cd_sign_fish_02.pami
00_common-sign_statue_strdeco_tent,fish,cd_sign_fish_03a,8012.60,360.71,3507.24,object/00_common/sign/cd_sign_fish_03a.pami
00_common-sign_statue_strdeco_tent,fish,cd_sign_fish_02a,7931.81,360.71,3507.24,object/00_common/sign/cd_sign_fish_02a.pami
00_common-tool,fish,cd_tool_fishdryboard_01,7714.76,356.39,3402.98,object/00_common/tool/cd_tool_fishdryboard_01.pami
00_common-tool,fish,cd_tool_fishing_basket_01,7814.91,356.39,3509.62,object/00_common/tool/cd_tool_fishing_basket_01.pami
00_common-tool,fish,cd_tool_fishingrod_stand_01,7668.77,356.39,3509.62,object/00_common/tool/cd_tool_fishingrod_stand_01.pami
00_common-tool,fish,cd_tool_fishspear_02,7776.85,356.39,3509.62,object/00_common/tool/cd_tool_fishspear_02.pami
00_common-tool,fish,cd_tool_fishdryboard_01,7674.48,356.39,3509.62,object/00_common/tool/cd_tool_fishdryboard_01.pami
00_common-tool,fish,cd_tool_fishing_basket_02,7725.62,356.39,3494.13,object/00_common/tool/cd_tool_fishing_basket_02.pami
00_common-tool,fish,cd_tool_fishspear_01,7855.96,356.39,3494.13,object/00_common/tool/cd_tool_fishspear_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9456.37,618.91,-1087.45,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9455.74,618.75,-1087.43,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9456.25,618.71,-1087.45,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9455.40,618.39,-1078.26,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9449.82,618.05,-1081.00,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9433.57,617.88,-1100.02,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9433.20,618.00,-1104.37,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9459.80,618.40,-1091.76,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9458.48,618.49,-1101.69,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighenbasketmaker_0001_phase01_00,fish,cd_ex_dpf_dryfishhang_01,-9469.52,618.07,-1117.52,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_01.pami
beighencandlery_0001_phase00_00,fish,cd_tool_fishing_basket_03,-9362.83,616.55,-858.55,object/00_common/tool/cd_tool_fishing_basket_03.pami
beighencandlery_0001_phase01_00,fish,cd_tool_fishing_basket_03,-9373.88,615.97,-832.85,object/00_common/tool/cd_tool_fishing_basket_03.pami
calphade_after_area_04_indoor_2_2,fish,cd_tool_fishing_basket_01,-11611.51,671.12,-2459.13,object/00_common/tool/cd_tool_fishing_basket_01.pami
demeniss_build_0005_phase02_00,fish,cd_ex_dpf_dryfishhang_03,-6990.63,386.37,-4017.69,object/00_common/exterior/decopropf/cd_ex_dpf_dryfishhang_03.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6410.74,511.88,-1654.92,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6433.77,527.13,-1642.65,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6407.73,510.93,-1646.11,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6412.81,511.05,-1653.35,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6409.90,510.92,-1648.39,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6409.63,511.13,-1653.88,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_04_sub_3_50,fish,cd_ex_dpf_fishdeco_01,-6407.87,514.88,-1654.72,object/00_common/exterior/decopropf/cd_ex_dpf_fishdeco_01.pami
musketcastle_0001_phase00_10,fish,cd_tool_fishing_basket_03,-6494.11,568.71,-1919.06,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3556.08,363.31,-4846.76,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3552.16,353.82,-4836.34,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3561.62,365.57,-4851.08,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3561.64,368.11,-4860.92,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3558.95,365.84,-4855.99,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3548.07,354.79,-4846.97,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3581.37,372.06,-4855.46,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3561.37,367.78,-4859.10,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3574.47,365.92,-4833.09,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3563.86,353.65,-4816.54,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3570.08,364.49,-4832.29,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3548.58,353.32,-4843.86,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3579.67,372.98,-4858.22,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_-19_sub_2_2,fish,cd_tool_fishing_basket_03,-3574.13,354.17,-4815.83,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3372.87,607.84,3840.91,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3358.38,618.27,3839.95,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3397.11,647.18,3831.02,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3391.20,636.80,3742.74,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3385.41,635.05,3708.20,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3444.06,635.25,3785.86,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3401.69,635.97,3775.79,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3329.79,629.30,3780.87,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3404.41,619.69,3790.88,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3408.87,596.26,3807.67,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3381.94,598.56,3804.37,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3410.56,629.78,3833.14,object/00_common/tool/cd_tool_fishing_basket_03.pami
sector_-14_14_sub_1_3,fish,cd_tool_fishing_basket_03,-3371.24,592.11,3794.02,object/00_common/tool/cd_tool_fishing_basket_03.pami
