source,type_id,name,x,y,z
actionpointinfo,0x5B3C,LevelActionPoint_Sector_m03_m05_0_CombatOperationAction_Wait_05,-2915.16,369.80,-4765.40
actionpointinfo,0x5B40,LevelActionPoint_Sector_m03_m05_1_CombatOperationAction_Wait_09,-2910.34,368.08,-4764.11
actionpointinfo,0x5B45,LevelActionPoint_Sector_m03_m05_2_CombatOperationAction_Wait_00,-2917.01,369.22,-4760.58
actionpointinfo,0x5B49,LevelActionPoint_Sector_m03_m05_3_CombatOperationAction_Wait_08,-2911.75,368.61,-4764.42
actionpointinfo,0x5B4D,LevelActionPoint_Sector_m03_m05_4_CombatOperationAction_Wait_03,-2915.97,369.87,-4763.62
actionpointinfo,0x5B4E,LevelActionPoint_Sector_m03_m05_5_CombatOperationAction_Wait_06,-2913.52,369.13,-4766.05
actionpointinfo,0x5B57,LevelActionPoint_Sector_m03_m05_6_CombatOperationAction_Wait_02,-2916.74,369.92,-4762.52
actionpointinfo,0x5B58,LevelActionPoint_Sector_m03_m05_7_CombatOperationAction_Wait_07,-2912.56,368.80,-4764.26
actionpointinfo,0x5B5D,LevelActionPoint_Sector_m03_m05_8_CombatOperationAction_Wait_04,-2914.95,369.56,-4764.20
actionpointinfo,0x6D83,LevelActionPoint_Sector_m03_m05_9_CombatOperationAction_Wait_01,-2917.06,369.54,-4761.56
actionpointinfo,0x49F2,LevelActionPoint_Sector_m03_m05_10_CombatOperationAction_Wait_08,-2945.22,381.04,-4184.24
actionpointinfo,0x49F5,LevelActionPoint_Sector_m03_m05_11_CombatOperationAction_Wait_04,-2948.44,381.12,-4184.27
actionpointinfo,0x54C5,LevelActionPoint_Sector_m03_m05_12_CombatOperationAction_Wait_05,-2948.55,381.11,-4185.48
actionpointinfo,0x54C6,LevelActionPoint_Sector_m03_m05_13_CombatOperationAction_Wait_02,-2950.35,381.14,-4182.74
actionpointinfo,0x54C7,LevelActionPoint_Sector_m03_m05_14_CombatOperationAction_Wait_00,-2947.17,381.21,-4182.07
actionpointinfo,0x54C8,LevelActionPoint_Sector_m03_m05_15_CombatOperationAction_Wait_03,-2949.50,381.05,-4183.77
actionpointinfo,0x54C9,LevelActionPoint_Sector_m03_m05_16_CombatOperationAction_Wait_01,-2947.25,381.12,-4183.30
actionpointinfo,0x5F5C,LevelActionPoint_Sector_m03_m05_17_CombatOperationAction_Wait_09,-2946.14,381.02,-4182.58
actionpointinfo,0x6145,LevelActionPoint_Sector_m03_m05_18_CombatOperationAction_Wait_07,-2946.05,381.10,-4184.14
actionpointinfo,0x6146,LevelActionPoint_Sector_m03_m05_19_CombatOperationAction_Wait_06,-2946.86,381.03,-4185.99
actionpointinfo,0x44D5,LevelActionPoint_Sector_m03_m05_20_Action_Sit000,-3062.84,462.78,-4532.46
actionpointinfo,0x44FE,LevelActionPoint_Sector_m03_m05_21_Action_Sit000,-3061.76,462.85,-4523.16
actionpointinfo,0x5CA2,LevelActionPoint_Sector_m03_m05_22_Action_Sit000,-3062.71,462.82,-4524.87
actionpointinfo,0x5CB5,LevelActionPoint_Sector_m03_m05_23_Action_Sit000,-2998.04,471.20,-4487.68
actionpointinfo,0x6188,LevelActionPoint_Sector_m03_m05_24_Action_Sit000,-3061.53,457.28,-4569.05
actionpointinfo,0x6189,LevelActionPoint_Sector_m03_m05_25_Action_Sit000,-3009.75,471.34,-4529.79
actionpointinfo,0x618A,LevelActionPoint_Sector_m03_m05_26_Action_Sit000,-3050.97,462.79,-4521.57
actionpointinfo,0x618B,LevelActionPoint_Sector_m03_m05_27_Action_Sit000,-3061.07,457.28,-4570.60
actionpointinfo,0x6A0C,LevelActionPoint_Sector_m03_m05_28_Action_Sit000,-2987.69,471.19,-4504.80
actionpointinfo,0x6A0D,LevelActionPoint_Sector_m03_m05_29_Action_Sit000,-2995.85,471.17,-4489.29
actionpointinfo,0x6C84,LevelActionPoint_Sector_m03_m05_30_Action_Sit000,-2986.72,471.18,-4503.42
actionpointinfo,0x6C85,LevelActionPoint_Sector_m03_m05_31_Action_Sit000,-3009.04,471.20,-4528.50
actionpointinfo,0x6C86,LevelActionPoint_Sector_m03_m05_32_Action_Sit000,-3008.25,471.21,-4527.69
actionpointinfo,0x6C88,LevelActionPoint_Sector_m03_m05_33_Action_Sit000,-3048.97,462.80,-4520.87
actionpointinfo,0x8168,LevelActionPoint_Sector_m03_m05_34_Action_Sit000,-3048.41,443.50,-4622.14
actionpointinfo,0x8169,LevelActionPoint_Sector_m03_m05_35_Action_Sit000,-3056.27,462.80,-4555.71
actionpointinfo,0x816A,LevelActionPoint_Sector_m03_m05_36_Action_Lean,-3071.70,457.31,-4582.34
actionpointinfo,0x816B,LevelActionPoint_Sector_m03_m05_37_Action_Sit000,-3018.63,471.21,-4534.38
actionpointinfo,0x816C,LevelActionPoint_Sector_m03_m05_38_Action_Sit000,-2994.60,471.18,-4503.34
actionpointinfo,0x816D,LevelActionPoint_Sector_m03_m05_39_Action_Lean,-3048.06,462.79,-4551.19
actionpointinfo,0x816E,LevelActionPoint_Sector_m03_m05_40_Action_Sit000,-3017.10,471.39,-4533.15
