sector,resource_type,resource,x,y,z,resource_full
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-6137.94,516.37,-4888.72,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-6067.16,530.52,-4941.79,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-6016.78,524.43,-4939.40,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5933.11,530.57,-4924.51,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5949.36,528.19,-5103.53,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5947.24,530.40,-5098.37,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5947.50,532.49,-5088.92,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5899.61,524.37,-5108.20,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-5996.82,527.80,-5094.94,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
sector_-24_-20_extra_1_0,wood,cd_gimmick_kudzu_woodthorn_0001,-6039.76,532.20,-5019.22,object/00_common/gimmick/cd_gimmick_kudzu_woodthorn_0001.pami
