sector,resource_type,resource,x,y,z,resource_full
00_common-interior,herb,cd_in_food_herb_01,7509.46,354.56,3797.24,object/00_common/interior/decofood/cd_in_food_herb_01.pami
00_common-products,herb,cd_product_herbhouse_01,6660.11,354.32,3792.92,object/00_common/products/cd_product_herbhouse_01.pami
00_common-products,herb,cd_product_herbhouse_04,6665.25,354.32,3792.92,object/00_common/products/cd_product_herbhouse_04.pami
00_common-products,herb,cd_product_herbhouse_01,6897.73,354.32,3674.18,object/00_common/products/cd_product_herbhouse_01.pami
00_common-products,herb,cd_product_herbhouse_05,6785.65,354.32,3752.44,object/00_common/products/cd_product_herbhouse_05.pami
02_kwe_steinnfellfortress_01_sub_1_2,herb,cd_ex_dpf_herbsack_01,-11094.31,859.94,-1090.16,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
04_aka_dungeon_04_etc,herb,cd_ex_dpf_herbpot_01,-8906.56,538.16,-3530.82,object/00_common/exterior/decopropf/cd_ex_dpf_herbpot_01.pami
beighencandlery_0001_phase00_00,herb,cd_in_food_dryherb_0001,-9406.04,616.54,-868.82,object/00_common/interior/decofood/cd_in_food_dryherb_0001.pami
beighencandlery_0001_phase00_00,herb,cd_in_food_dryherb_0001,-9391.96,615.83,-832.55,object/00_common/interior/decofood/cd_in_food_dryherb_0001.pami
calphade_after_area_03_indoor_2_3,herb,cd_in_food_dryherb_0001,-11919.80,686.62,-2134.37,object/00_common/interior/decofood/cd_in_food_dryherb_0001.pami
calphade_after_area_03_indoor_2_3,herb,cd_in_food_dryherb_0001,-11919.56,686.61,-2134.64,object/00_common/interior/decofood/cd_in_food_dryherb_0001.pami
calphade_after_area_03_indoor_3_9,herb,cd_in_food_dryherb_0001,-11622.20,690.44,-1987.70,object/00_common/interior/decofood/cd_in_food_dryherb_0001.pami
calphade_after_area_03_sub_2_11,herb,cd_ex_dpf_herbsack_02,-11910.45,700.49,-1938.17,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_03_sub_2_11,herb,cd_ex_dpf_herbsack_02,-11908.97,700.50,-1945.37,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_03_sub_2_11,herb,cd_ex_dpf_herbsack_02,-11809.59,699.27,-1958.42,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_03_sub_2_11,herb,cd_ex_dpf_herbsack_02,-11788.74,699.53,-1955.29,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_03_sub_2_11,herb,cd_ex_dpf_herbsack_02,-11781.53,700.70,-1922.92,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_03_sub_2_3,herb,cd_ex_dpf_herbsack_01,-11873.24,685.91,-2106.93,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11699.20,673.37,-2428.16,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_02,-11690.63,673.37,-2426.85,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11688.81,675.17,-2424.95,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11689.02,675.18,-2424.80,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11689.08,673.39,-2426.55,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11689.60,675.06,-2427.72,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11693.86,674.97,-2432.99,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11703.36,675.82,-2431.01,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11697.59,675.56,-2429.01,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11688.64,673.39,-2425.63,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11689.26,673.39,-2424.43,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11689.21,673.39,-2424.40,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11691.92,674.96,-2430.55,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_1,herb,cd_ex_dpf_herbsack_01,-11701.74,673.39,-2434.37,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
calphade_after_area_04_indoor_1_13,herb,cd_ex_dpf_herbpot_01,-11487.72,677.96,-2338.73,object/00_common/exterior/decopropf/cd_ex_dpf_herbpot_01.pami
calphade_before_area_01_sub_3_39,herb,cd_ex_dpf_herbsack_02,-11917.37,753.56,-1525.49,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_01_sub_3_7,herb,cd_ex_dpf_herbsack_02,-11944.55,708.09,-1919.12,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_01_sub_3_7,herb,cd_ex_dpf_herbsack_02,-11902.71,708.17,-1850.37,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_02_sub_3_51,herb,cd_ex_dpf_herbsack_02,-11490.37,682.50,-1623.14,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_02_sub_3_51,herb,cd_ex_dpf_herbsack_02,-11493.15,682.90,-1622.30,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_02_sub_3_51,herb,cd_ex_dpf_herbsack_02,-11486.92,682.21,-1658.44,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_02_sub_3_51,herb,cd_ex_dpf_herbsack_02,-11486.50,682.19,-1656.98,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_02_sub_3_51,herb,cd_ex_dpf_herbsack_02,-11463.94,682.30,-1654.12,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_1_3,herb,cd_ex_dpf_herbsack_02,-11663.59,736.60,-2118.41,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_1_3,herb,cd_ex_dpf_herbsack_02,-11643.46,736.28,-2107.39,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_1_3,herb,cd_ex_dpf_herbsack_02,-11698.81,712.57,-1994.16,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_1_3,herb,cd_ex_dpf_herbsack_02,-11677.77,710.98,-1971.26,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_2_10,herb,cd_ex_dpf_herbsack_02,-11903.33,696.55,-2030.73,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
calphade_before_area_03_sub_2_5,herb,cd_ex_dpf_herbsack_02,-11523.39,677.61,-2324.59,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
del_windmill,herb,cd_ex_dpf_herbsack_02,-4736.77,385.24,-4092.23,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
dem_windmill_indoor_2_17,herb,cd_ex_dpf_herbsack_02,-9217.80,647.48,-2761.51,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
dem_windmill_indoor_2_17,herb,cd_ex_dpf_herbsack_02,647.48,-2761.51,-9215.52,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
dem_windmill_indoor_2_17,herb,cd_ex_dpf_herbsack_02,-2761.51,-9215.52,648.86,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
dem_windmill_indoor_2_17,herb,cd_ex_dpf_herbsack_02,-9215.52,648.86,-2758.25,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
dem_windmill_indoor_2_17,herb,cd_ex_dpf_herbsack_01,-9216.86,647.61,-2759.12,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_01.pami
dem_windmill_indoor_2_4,herb,cd_ex_dpf_herbsack_02,-7589.58,516.90,-3355.35,object/00_common/exterior/decopropf/cd_ex_dpf_herbsack_02.pami
