sector,resource_type,resource,x,y,z,resource_full
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7664.60,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7744.94,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7668.28,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7846.03,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7685.73,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7678.69,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7730.11,356.39,3471.35,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7712.17,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7787.76,356.39,3443.53,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7810.05,356.39,3494.13,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7668.13,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7672.72,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7810.40,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7664.27,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7672.02,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7714.76,356.39,3402.98,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7814.91,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7668.77,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7776.85,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7708.89,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7842.99,356.39,3471.35,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7730.66,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7764.66,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7692.27,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7807.01,356.39,3471.35,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7699.68,356.39,3471.35,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7675.16,356.39,3494.13,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7669.87,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7667.67,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7725.56,356.39,3471.35,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7670.27,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7748.69,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7829.15,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
00_common-tool,mercury,cd_gimmick_ice_mercury_0001,7816.43,356.39,3509.62,object/00_common/tool/cd_gimmick_ice_mercury_0001.pami
