sector,resource_type,resource,x,y,z,resource_full
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4319.88,409.76,-1900.54,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4317.31,411.23,-1901.54,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4320.20,409.51,-1899.85,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4318.68,411.98,-1901.25,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4316.57,411.27,-1902.47,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4319.20,410.21,-1900.12,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4317.42,411.22,-1900.09,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_02_levelindex11,-4317.75,410.56,-1899.50,object/10_spot/mine/cd_spot_mine_goldstone_place_02_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_02_levelindex11,-4318.52,412.37,-1902.43,object/10_spot/mine/cd_spot_mine_goldstone_place_02_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_02_levelindex11,-4317.32,411.76,-1902.41,object/10_spot/mine/cd_spot_mine_goldstone_place_02_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_02_levelindex11,-4316.17,410.78,-1900.36,object/10_spot/mine/cd_spot_mine_goldstone_place_02_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_02_levelindex11,-4318.92,411.81,-1903.07,object/10_spot/mine/cd_spot_mine_goldstone_place_02_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4318.44,411.97,-1904.02,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4319.38,410.90,-1902.51,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4319.60,412.06,-1902.62,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4312.11,413.66,-1898.52,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4312.06,412.61,-1898.61,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4312.30,413.40,-1899.06,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4313.60,411.21,-1892.19,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4313.87,410.35,-1892.22,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4312.94,411.42,-1893.53,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4316.16,410.42,-1899.95,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4318.26,409.93,-1898.95,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4318.27,410.50,-1898.93,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
01_tom_dungeon_mine_0002,gold,cd_spot_mine_goldstone_place_05_levelindex11,-4318.36,410.66,-1899.29,object/10_spot/mine/cd_spot_mine_goldstone_place_05_levelindex11.pami
