sector,resource_type,resource,x,y,z,resource_full
01_tom_dungeon_mine_0003,gold,cd_spot_mine_goldstone_place_05_index01_levelindex71,-4951.60,486.81,-2288.96,object/10_spot/mine/cd_spot_mine_goldstone_place_05_index01_levelindex71.pami
01_tom_dungeon_mine_0003,gold,cd_spot_mine_goldstone_place_05_index01_levelindex71,-4949.40,488.10,-2292.25,object/10_spot/mine/cd_spot_mine_goldstone_place_05_index01_levelindex71.pami
01_tom_dungeon_mine_0004,gold,cd_spot_mine_goldstone_place_05_index01_levelindex67,-4872.24,552.64,-1729.00,object/10_spot/mine/cd_spot_mine_goldstone_place_05_index01_levelindex67.pami
02_kwe_cave_0071,diamond,cd_gimmick_mine_diamond_place_01,932.33,206.67,-10620.83,object/00_common/gimmick/cd_gimmick_mine_diamond_place_01.pami
02_kwe_cavedungeon_0001,copper,cd_spot_mine_copperstone_place_04,-10031.34,641.70,571.79,object/10_spot/mine/cd_spot_mine_copperstone_place_04.pami
02_kwe_dungeon_57,greenstone,cd_spot_mine_greenstone_place_03,-9641.79,641.22,1036.64,object/10_spot/mine/cd_spot_mine_greenstone_place_03.pami
04_aka_dem_crimson_river_01,ruby,cd_spot_mine_ruby_place_01,-5447.91,429.47,-3004.57,object/10_spot/mine/cd_spot_mine_ruby_place_01.pami
04_aka_dem_crimson_river_01,ruby,cd_spot_mine_ruby_place_01,-5362.05,459.37,-2950.07,object/10_spot/mine/cd_spot_mine_ruby_place_01.pami
04_aka_dungeon_15_dungeon,gold,cd_spot_mine_goldstone_place_03_index01_levelindex70,-9216.38,668.82,-2061.10,object/10_spot/mine/cd_spot_mine_goldstone_place_03_index01_levelindex70.pami
04_aka_her_cave_0021,copper,cd_spot_mine_copperstone_place_02,-10176.77,521.05,-4374.59,object/10_spot/mine/cd_spot_mine_copperstone_place_02.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6117.17,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5950.32,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5970.91,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6021.45,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6024.21,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6236.50,375.28,948.61,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6552.84,375.28,1029.61,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6331.24,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6355.63,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5935.83,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6347.40,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6385.55,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6044.87,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6015.97,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6068.50,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6624.98,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5946.92,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5856.31,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6247.47,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,6035.71,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
10_spot-mine_musket_northpray_plundertank_reeddevil_saltern_sandcrawler_shield,mine_other,cd_spot_mine_akapen_stone_11,5988.22,375.28,1090.73,object/10_spot/mine/cd_spot_mine_akapen_stone_11.pami
beighenbasketmaker_0001_phase00_00,stone,cd_spot_mine_stone_01,-9460.00,619.16,-1102.63,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_01_sub_3_48,stone,cd_spot_mine_stone_01,-11890.32,728.75,-1656.44,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_01_sub_3_48,stone,cd_spot_mine_stone_01,-11882.91,729.14,-1658.15,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_01_sub_3_48,stone,cd_spot_mine_stone_01,-11886.74,736.32,-1608.33,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_01_sub_3_48,stone,cd_spot_mine_stone_01,-11838.37,731.11,-1623.72,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11529.94,676.38,-2344.03,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.38,-2344.03,-11528.00,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11528.00,676.95,-2343.66,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.95,-2343.66,-11528.25,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11528.25,676.98,-2341.85,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.98,-2341.85,-11531.01,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11531.01,677.21,-2341.25,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,677.21,-2341.25,-11533.05,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11533.05,676.72,-2338.80,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.72,-2338.80,-11534.34,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11534.34,676.27,-2341.29,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.27,-2341.29,-11532.70,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11532.70,676.01,-2344.23,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.01,-2344.23,-11530.30,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11530.30,676.20,-2344.52,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11536.22,676.94,-2334.46,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.94,-2334.46,-11539.31,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11539.31,676.21,-2337.70,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.21,-2337.70,-11537.12,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11537.12,676.21,-2344.34,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.21,-2344.34,-11534.10,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11534.10,675.98,-2345.01,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,675.98,-2345.01,-11532.83,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11532.83,675.92,-2348.74,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,675.92,-2348.74,-11529.26,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11529.26,675.81,-2350.97,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,675.81,-2350.97,-11527.68,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11527.68,675.77,-2353.26,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,675.77,-2353.26,-11522.31,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11522.31,675.88,-2350.16,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,675.88,-2350.16,-11519.18,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11519.18,676.25,-2348.07,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.25,-2348.07,-11515.09,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11515.09,676.45,-2349.82,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.45,-2349.82,-11511.76,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11511.76,676.67,-2347.54,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.67,-2347.54,-11509.72,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11509.72,676.82,-2345.88,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.82,-2345.88,-11511.71,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11511.71,677.01,-2345.40,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,677.01,-2345.40,-11514.84,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11514.84,676.76,-2345.40,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,676.76,-2345.40,-11517.22,object/10_spot/mine/cd_spot_mine_stone_01.pami
calphade_before_area_03_sub_2_5,stone,cd_spot_mine_stone_01,-11517.22,676.76,-2344.70,object/10_spot/mine/cd_spot_mine_stone_01.pami
