sector,resource_type,resource,x,y,z,resource_full
sector_-31_-6_sub_2_2,sulfur,cd_gimmick_sulfur_rock_0004,-7921.07,588.15,-1509.58,object/00_common/gimmick/cd_gimmick_sulfur_rock_0004.pami
sector_-31_-6_sub_2_2,sulfur,cd_gimmick_sulfur_rock_0004,-7919.53,593.92,-1475.72,object/00_common/gimmick/cd_gimmick_sulfur_rock_0004.pami
sector_-31_-6_sub_2_2,sulfur,cd_gimmick_sulfur_rock_0004,-7918.83,593.33,-1474.08,object/00_common/gimmick/cd_gimmick_sulfur_rock_0004.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_gas_0001,-8032.20,551.65,-1507.08,object/00_common/gimmick/cd_gimmick_sulfur_gas_0001.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_gas_0001,-8022.38,552.15,-1531.98,object/00_common/gimmick/cd_gimmick_sulfur_gas_0001.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_rock_0002_parts01,-8025.95,547.47,-1518.84,object/00_common/gimmick/cd_gimmick_sulfur_rock_0002_parts01.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_rock_0002_parts01,-8010.58,554.66,-1533.45,object/00_common/gimmick/cd_gimmick_sulfur_rock_0002_parts01.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_rock_0002_parts01,-8009.81,554.82,-1530.60,object/00_common/gimmick/cd_gimmick_sulfur_rock_0002_parts01.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_rock_0002_parts01,-8010.67,555.14,-1525.45,object/00_common/gimmick/cd_gimmick_sulfur_rock_0002_parts01.pami
sector_-32_-6_sub_1_1,sulfur,cd_gimmick_sulfur_rock_0002_parts01,-8013.33,555.71,-1513.97,object/00_common/gimmick/cd_gimmick_sulfur_rock_0002_parts01.pami
